Category,Number,Power,Current,Voltage,Location
Clothing,532,90,4,3,Philippines
Automotive,280,64,5,45,Philippines
Toys,24,45,3,20,Philippines
Automotive,340,39,0,8,International
Home,795,29,0,18,Canada
Electronics,858,23,1,15,Canada
Electronics,110,78,3,40,International
Toys,695,15,3,10,Philippines
Automotive,322,32,3,9,International
Electronics,480,41,2,49,Philippines
Electronics,932,89,2,26,Canada
Home,354,37,2,37,International
Home,170,9,3,13,Philippines
Toys,997,42,2,0,Scotland
Home,976,32,1,17,International
Toys,435,74,5,10,Canada
Toys,676,2,0,4,Cerro
Toys,681,10,1,11,Philippines
Electronics,931,43,2,23,Scotland
Clothing,213,57,3,48,Scotland
Toys,843,64,5,38,Philippines
Electronics,220,64,1,23,Scotland
Electronics,595,35,3,49,Cerro
Toys,407,16,3,9,Philippines
Home,561,41,3,12,Scotland
Toys,368,58,2,26,Philippines
Automotive,898,93,2,17,Canada
Clothing,471,88,3,22,Cerro
Automotive,155,21,3,13,Cerro
Clothing,713,56,2,27,Canada
Automotive,509,84,5,35,Philippines
Clothing,679,60,4,35,Cerro
Electronics,330,8,2,2,Cerro
Clothing,999,1,5,25,Cerro
Automotive,700,26,5,8,Cerro
Electronics,910,52,2,11,Philippines
Toys,203,50,2,47,Canada
Home,660,19,0,21,International
Home,188,89,2,7,Scotland
Clothing,476,11,4,1,Canada
Clothing,510,89,0,47,Philippines
Toys,963,33,2,20,Scotland
Automotive,692,51,5,32,Cerro
Electronics,67,91,5,16,Canada
Home,623,22,1,38,International
Home,794,51,3,30,Philippines
Electronics,633,39,4,14,Scotland
Automotive,635,88,3,50,International
Electronics,997,4,1,39,Scotland
Automotive,824,41,5,14,Cerro
Home,681,40,1,43,Philippines
Electronics,987,56,4,4,Scotland
Electronics,84,47,2,27,Philippines
Automotive,32,32,0,13,Cerro
Automotive,877,9,5,45,Philippines
Toys,500,22,3,12,International
Toys,562,12,2,30,Philippines
Automotive,292,47,3,37,Philippines
Clothing,492,84,0,40,Scotland
Home,63,64,4,27,Cerro
Clothing,498,57,2,37,Scotland
Home,127,46,3,0,Canada
Toys,365,40,5,43,Philippines
Automotive,363,97,1,35,International
Toys,225,45,1,3,International
Electronics,587,96,4,46,Canada
Automotive,826,18,0,21,Scotland
Clothing,323,27,1,19,Cerro
Automotive,569,45,4,7,International
Automotive,75,99,2,49,Canada
Home,630,84,5,19,International
Clothing,701,71,3,49,International
Electronics,66,70,2,9,Scotland
Electronics,376,7,2,43,Canada
Clothing,455,59,2,8,Cerro
Electronics,315,12,2,30,Philippines
Electronics,158,70,2,0,International
Automotive,916,75,2,12,Philippines
Electronics,18,36,4,45,Cerro
Toys,731,80,3,7,Canada
Toys,527,99,4,1,Canada
Electronics,282,11,4,39,Scotland
Toys,201,71,0,34,International
Toys,344,59,5,44,International
Home,80,97,5,33,International
Automotive,695,29,3,32,Cerro
Home,838,63,0,20,Philippines
Clothing,436,61,5,42,Cerro
Automotive,933,28,5,11,Philippines
Automotive,752,36,2,45,Philippines
Automotive,586,34,2,8,Canada
Clothing,894,12,5,41,Philippines
Clothing,954,25,1,42,Cerro
Home,338,25,0,22,Cerro
Clothing,719,27,2,48,Cerro
Electronics,867,51,5,45,Scotland
Electronics,686,85,0,29,International
Home,179,78,1,9,Scotland
Toys,210,34,5,38,Philippines
Toys,238,92,2,20,Canada
